gene,state,n_restarts,BS_min,BS_median,BS_max,BS_restart_fold,BF_min,BF_median,BF_max,BF_restart_fold,best_seed,best_nll_per_cell
Arhgap1,2,3,3.696921742972817,3.9211205955388606,4.110624720015688,1.1119047158164073,1.2693665039129531,1.317775918937103,1.4015070808435448,1.1040996249099488,202,2.6955641270451816
Arhgef25,2,3,4.097653828839867,4.5487460541381655,5.0965071614796,1.243762253807206,0.6964440051476223,0.7865644750676977,0.7996272273697007,1.148157240868499,303,2.370987844421235
Arid5b,2,3,3.0602568301039765,3.1028462835098125,3.6965670402650623,1.2079270615138098,0.7881068434044921,0.8375875688335788,0.9856880443753587,1.2507035722686384,202,2.155190401673986
Arl2,2,3,3.441644436979507,3.7724345913682313,4.142740387604803,1.203709582283462,1.1401222342707746,1.147375031440491,1.16389736974934,1.0208531460609327,202,2.483636571014455
Arl4c,2,3,5.153986566319943,5.839004093138824,6.248627110636085,1.2123871551139371,0.4690092483926566,0.5060451076389125,0.5328110205157401,1.1360352111216119,101,1.9673968240640232
Arl6ip1,2,3,5.475636575112649,5.62603643732627,7.0334024768661365,1.2844903748422054,0.6513061088247281,0.709131788648216,0.7187888468954585,1.1036114004711273,303,2.595056308707386
Arl6ip4,3,3,4.366350711384529,4.684590272785387,6.32829655471384,1.4493330868301224,1.4995805596154106,1.532461837097041,1.5561233538419412,1.037705739690992,303,2.910594744063458
Arl8b,2,3,2.8707643469652777,3.4714828433812706,3.5488053876317256,1.2361883313004127,1.1416597939587694,1.2585865499873308,1.291607026268668,1.131341432100318,101,2.4501406528300103
Arpc3,2,3,3.417010247190552,3.451882395881935,3.960557754844593,1.159071079198824,1.4749006498265027,1.6122656195756708,1.7248301413093132,1.169455136867836,202,2.6758573050246794
Arpc5,2,3,15.027383003415594,15.113352417327611,15.592011822921393,1.0375733299256074,1.4254294780009955,1.5887153104227607,1.6216362848483736,1.1376475019462458,101,3.9658084759867585
Arpc5l,2,3,2.1661516609937026,2.302959360856357,2.839040037760598,1.3106377032059768,0.964088269941835,1.0741848907983835,1.2286044247783037,1.2743692285068744,202,2.069086504953262
Arpp19,3,3,13.921622800972157,14.628098666291647,15.081729400254602,1.0833312765234118,1.3122090337408132,1.4174106573120524,1.4592373680646904,1.112046427469511,303,3.871985254142734
Ash2l,3,3,2.7799822640863185,2.8009015285390126,3.2168312118339144,1.157140911793253,1.079534052961941,1.3315236534921286,1.3753611398920835,1.274032195759342,202,2.326293599911996
Asns,2,3,8.942644333544415,9.691988072583584,9.781721819087528,1.0938287886946014,1.2252442061082862,1.2326202382751312,1.2672887900577756,1.0343152685316788,101,3.4296313647448615
Atic,2,3,2.3232156885904427,2.854652576949973,2.9833383580006574,1.284141792194391,1.0196022378170024,1.0205989649632534,1.0234041439252028,1.0037288130284419,202,2.1820735312387565
Atox1,2,3,5.211355857280078,5.404212320338007,5.750813718032768,1.1035158364783488,1.6686106670872423,1.8543016647498503,1.8688713194518387,1.1200164042545497,101,3.1761557432178824
Atp13a3,2,3,2.23907315072,2.564760354300666,2.7109463412445076,1.21074487466958,0.8488213959262383,0.9922442912299821,1.0476520746076095,1.2342432455586325,303,2.0344888903073515
Atp1a1,3,3,5.869103434795236,6.555563877365901,6.809738727276935,1.1602689921777662,1.4459213484161262,1.5734821639643715,1.6388327999944317,1.1334176660366915,202,3.2546537809503677
Atp1b3,2,3,4.416204457891358,4.6534026688724515,4.860733986053744,1.1006587290966685,1.350374879496145,1.3792802641081152,1.4489743438935723,1.0730163644885167,303,2.9260775290649392
Atp5c1,2,3,12.072165375110572,12.603286553245116,12.948509395497064,1.0725921152632045,1.554287135086907,1.6545955936051155,1.8419589080862657,1.1850827729995164,101,3.8848872246109463
Atp5j2,2,3,6.770205796449139,7.080719552686355,8.091891693059626,1.1952209336536992,2.0465119232305713,2.40709087754713,2.4574176081073325,1.200783430681467,202,3.5373109441268236
Atp5o,2,3,5.584541532102302,5.587700839800827,5.605779090013951,1.003802918787436,1.6414959697228444,1.843885140309107,1.977394934910043,1.204629783674652,101,3.2457550174253096
Atp6v0a2,2,3,2.7514918453579735,3.162795577430187,3.460068692625413,1.2575246037755392,0.6861624255291453,0.7177627311629341,0.7358850250962794,1.0724647659463278,303,1.9717151385421547
Atp6v0b,2,3,4.519878298142021,4.559681255306533,5.255780722672649,1.1628146547293396,1.4069585597545382,1.4551947952013846,1.5150026594500343,1.0767926666684098,202,2.909668827349841
Atp6v0d1,2,3,2.2071235511885803,2.295808034466478,2.7594043225474585,1.2502264864427113,1.2171291669674933,1.2621534789004658,1.297351203550751,1.0659108653053915,202,2.2017427557673654
Atp6v0e,2,3,9.852136994182743,11.017367720304637,11.717469948952308,1.1893328275754755,2.119884188413464,2.1991308186735354,2.6175007305594793,1.2347376073022345,303,3.8964092237080457
Atp6v1a,2,3,4.61434276779919,4.819289676755547,6.281690945065736,1.3613403384122214,1.0280877445703365,1.1779676998496584,1.27918797864558,1.2442400810644665,101,2.853274292952777
Atp6v1f,2,3,2.6233677268267455,2.6331848389538552,3.1075211532753766,1.184554159715256,1.352307981371666,1.4422200353830215,1.45472368277403,1.075734006463884,101,2.213440327227241
Atrx,3,3,5.678021212926116,6.433079237097969,6.638948167492848,1.1692362389170305,0.9340625444137497,1.045223935324529,1.1743138028789804,1.2572111042264529,202,2.3771886137066565
Atxn10,2,3,2.9383284516741996,3.098786053064993,3.564420511306615,1.2130776289749639,0.9890143698382684,1.136965855372045,1.2533585152797428,1.267280388943896,303,2.3426239769393185
Aurkaip1,2,3,3.1380351340586263,3.575865838450702,3.896108063299553,1.241575666573389,1.4017367651150456,1.4624598056992326,1.5824429796521737,1.128915941305354,303,2.7144999284049174
Avpi1,2,3,4.110907098424563,4.371400550385203,5.224130304550966,1.27079746135665,0.8683944573624522,0.956333423563195,1.000878171545504,1.1525616763900595,202,2.5751635411987692
Axl,2,3,7.74774656809515,8.89758875747676,9.291167559111335,1.1992090187064093,2.045051394557335,2.1645172405467474,2.206645854315419,1.0790173098769784,202,3.7624933779144922
B2m,2,3,5.780363198031326,5.833160852853357,6.075418619561354,1.0510444433025452,1.5408831950119657,1.6214620164986207,1.8685120183162751,1.212624048574795,202,3.1154665896112133
BC004004,2,3,3.695194008526367,4.036594035077306,4.383476724061317,1.1862642973404893,1.1883870961046283,1.246836731167891,1.2874289117469948,1.083341375858937,303,2.6875234187344916
BC031181,2,3,3.441937001148689,3.787319699456352,4.308619422086822,1.2518007798076758,1.3014339585054246,1.4206239519410235,1.557073974866809,1.196429495857756,202,2.6626108538953663
Bad,2,3,2.46356781472814,3.1273470222498116,3.302891311266553,1.3406942936665351,0.7833829231519351,0.8557655925720115,1.0827456501016162,1.382140991464554,303,2.0495375483333973
Bag2,2,3,5.506907843488114,6.592441775446715,8.019343286332695,1.4562334279509546,0.6859919328006553,0.7455239031424882,0.9023126068063451,1.3153399678076843,202,2.635899990089503
Bag3,2,3,3.574294964447415,4.082640510034079,5.32059394751579,1.4885715925625496,0.6285102277822854,0.7531263523394085,0.7738196830005727,1.231196643738027,101,2.3224261477040655
Bak1,2,3,2.701056029569924,3.5009601770330336,3.8969442386780564,1.4427483902651763,1.0429125678986875,1.0549349284755647,1.1461620215796737,1.0990010638082715,303,2.329241602018406
Bax,2,3,10.948369688395069,11.38767218688899,11.430326854302981,1.044020907187558,1.605408614948282,1.7271290521607403,1.8038072106500047,1.1235813697861052,202,3.899121491813338
Baz1b,2,3,3.0595237918491303,3.656274296369592,4.080361475763086,1.3336590114558242,0.5756576351656854,0.6238383549764427,0.7346225738344215,1.2761449322616611,303,2.0014363435279026
Bbip1,2,3,3.188803761678533,3.380312549234622,3.7443521641497557,1.174218435498455,0.8850046877840635,0.9893396854225786,1.0032838274981934,1.1336480375152425,101,2.4055316662574957
Bcap31,3,3,11.185193540091404,11.891474203338793,11.994073992681818,1.072317072538005,1.1564726065830824,1.1687689127853595,1.285405308143548,1.1114878993471453,303,2.7427980422084834
Bccip,2,3,2.1366858242094997,2.504503609674597,3.157666904282356,1.477833974702661,1.053492826455234,1.1251986697906124,1.3007513200736804,1.2347035379922005,303,2.201402775865582
Bckdk,2,3,3.006950528820287,3.1491577707570095,3.4352484974321187,1.1424359877247017,1.2097177025455683,1.2486302419168067,1.2744791288396669,1.0535343296686683,202,2.4148764673957146
Bclaf1,2,3,2.8675097223684136,3.326813662543809,3.6229267903937306,1.2634401069794392,0.9695504619019504,1.0400623966289801,1.0465272135579444,1.0793942705209898,101,2.3736643566173212
