gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
Arfip1,2,303,2.3052528757801958,0.9903356275207408,0.0733111032169236,782.3192924424957,1.9606999810588863,399,70,-5.883727090836634e-18,2.777697630751873,1.0686818747463245,13.508671729988713,31.1409043535271,,,,,stable_K2,0.3627185724728286,-0.004217596838808108
Arhgap1,2,202,3.9211205955388606,1.2693665039129531,0.0951274804674985,1113.26798446966,2.6955641270451816,413,70,7.02194935341178e-13,2.772897381189308,1.4028125249828185,13.343846569621364,52.3228316078529,,,,,stable_K2,0.5934101993957616,0.1035870339513868
Arhgef25,2,303,5.0965071614796,0.6964440051476223,0.062447067129478,948.395137768494,2.370987844421235,400,82,1.9958150093377982e-14,2.777697630751873,0.7428316639310248,11.152549465671646,56.83904822055104,,,,,stable_K2,0.7072726388077842,-0.15711379558313826
Arid5b,2,202,3.0602568301039765,0.8375875688335788,0.0826728544485973,851.3002086612245,2.155190401673986,395,70,-6.8522095568758594e-18,2.772897381189308,0.9130740029829896,10.13134933370853,31.0045309966509,,,,,stable_K2,0.4857578758986896,-0.0769697769202403
Arl2,2,202,3.441644436979507,1.147375031440491,0.0996341445191606,1015.807357544912,2.483636571014455,409,71,1.2209796959216712e-16,2.772897381189308,1.2743431178070792,11.515881799134023,39.63357053090317,,,,,stable_K2,0.5367660004964334,0.05970539476587271
Arl4c,2,101,6.248627110636085,0.4690092483926566,0.0572238535709114,720.0672376074325,1.9673968240640232,366,70,2.69856068485272e-11,2.7720772594232392,0.4974767872194287,8.196044466167649,51.21402565127403,,,,,stable_K2,0.7957846087408531,-0.32881859334825136
Arl6ip1,2,303,7.0334024768661365,0.709131788648216,0.06329915159806,1050.9978050264913,2.595056308707386,405,87,9.649334000129544e-11,2.777697630751873,0.7570525743176507,11.202864031276356,78.79425162557368,,,,,stable_K2,0.8471654700340235,-0.1492730458268923
Arl8b,2,101,3.4714828433812706,1.2585865499873308,0.0892579725195907,967.805557867854,2.4501406528300103,395,70,2.8376366618332492e-14,2.7720772594232392,1.3819352923343642,14.100550510612267,48.9498191798215,,,,,stable_K2,0.5405150232456747,0.09988308630428794
Arpc3,2,202,3.451882395881935,1.7248301413093132,0.0951498346244808,1105.1290669751927,2.6758573050246794,413,70,3.85020199662049e-12,2.772897381189308,1.9062052561967504,18.12751591336488,62.574053062413874,,,,,stable_K2,0.5380559910728466,0.2367463328445019
Arpc5,2,101,15.027383003415594,1.4254294780009955,0.0891500952072095,1637.8789005825313,3.9658084759867593,413,209,5.531330622507555e-11,2.7720772594232392,1.564944422237456,15.989096530832663,240.274277447406,,,,,stable_K2,1.17688335542829,0.1539457358000638
Arpc5l,2,202,2.1661516609937026,1.2286044247783037,0.0934827647614207,823.4964289713982,2.069086504953262,398,70,-1.4602322489400702e-17,2.772897381189308,1.3553017824917104,13.142576900820702,28.46881478345023,,,,,stable_K2,0.33568886005794224,0.08941207508361006
Asns,2,101,8.942644333544415,1.2672887900577756,0.0788470021617362,1416.4377536396278,3.429631364744861,413,129,1.0451121495768632e-10,2.7720772594232392,1.375763627792358,16.072758067050255,143.73295885273726,,,,,stable_K2,0.9514659583548107,0.1028755932868146
