gene,n_finite_cells,n_nonzero_cells,mean_count_qc,variance_count,fano,zero_fraction_qc,max_count,target_cells_qc,eligible,dispersion_score,dispersion_stratum,gene_seed,status,n_available_cells,target_cells,n_successful_resamples,mean_count,zero_fraction,median_heldout_gain,median_aux_delta_BIC,point_null_threshold,point_detection_power,bootstrap_probability_K3,bootstrap_probability_K2,bootstrap_probability_ambiguous,stable_state_call,initial_state_call,final_analysis_role,stable_state_call_70_30_split_matched,bootstrap_probability_K3_70_30_split_matched,bootstrap_probability_K2_70_30_split_matched,point_detection_power_70_30_split_matched,median_heldout_gain_70_30
Arpc5l,398,315,2.479899497487437,6.149093457235928,2.479573653475075,0.2085427135678391,12.0,200,True,1.4554524864796152,lower_dispersion,1806141984,ok,398,200,30,2.479899497487437,0.2085427135678391,-8.885725115703735e-08,-10.150347630640963,0.0077637745532084,0.0,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
Arpp19,352,287,20.894886363636363,402.9633829416324,19.285263194487367,0.1846590909090909,112.0,200,True,3.194553762316327,higher_dispersion,522030117,ok,352,200,30,20.894886363636363,0.1846590909090909,0.1308092478880077,26.25841430410196,0.0077637745532084,0.9,0.9753333333333334,0.0,0.0246666666666666,K3,K3,formal_K3,K3,1.0,0.0,0.9666666666666668,0.1398610069893792
Asah1,411,388,8.89051094890511,45.34810947129132,5.100731525095985,0.0559610705596107,51.0,200,True,1.8643697566956727,middle,921892730,ok,411,200,30,8.89051094890511,0.0559610705596107,0.0010554845837766,-4.674142949607187,0.0077637745532084,0.4666666666666667,0.0,0.0046666666666666,0.9953333333333332,ambiguous,ambiguous,ambiguous,,,,,
Asap1,393,320,5.297709923664122,27.51696676572849,5.194124850591401,0.1857506361323155,28.0,200,True,2.009351874178827,middle,1245158999,ok,393,200,30,5.297709923664122,0.1857506361323155,0.0058662940082456,-8.595739448774907,0.0077637745532084,0.4333333333333333,0.0013333333333333,0.0243333333333333,0.9743333333333334,ambiguous,ambiguous,ambiguous,,,,,
Ash2l,354,239,3.556497175141243,15.054717673720834,4.23301831334168,0.3248587570621469,27.0,200,True,1.97984698403365,middle,1987788696,ok,354,200,30,3.556497175141243,0.3248587570621469,0.0413653742163367,1.1057607127659708,0.0077637745532084,0.9,0.9536666666666668,0.0,0.0463333333333333,K3,K3,formal_K3,K3,0.9073333333333332,0.0,0.8666666666666667,0.0537191530672141
Asns,413,393,11.016949152542374,95.8859112734436,8.703490407897187,0.0484261501210653,61.0,200,True,2.320911806770693,higher_dispersion,1579077301,ok,413,200,30,11.016949152542374,0.0484261501210653,3.2560659626312825e-07,-10.15034763090705,0.0077637745532084,0.0333333333333333,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
Asph,403,324,3.69727047146402,17.665178653892337,4.777897313770881,0.1960297766749379,35.0,200,True,1.9500696066280163,middle,789132577,ok,403,200,30,3.69727047146402,0.1960297766749379,7.464935028682618e-05,-9.864583867014517,0.0077637745532084,0.1666666666666666,0.0,0.6953333333333334,0.3046666666666666,ambiguous,ambiguous,ambiguous,,,,,
Ate1,409,310,3.640586797066015,18.42583437449561,5.061226500449097,0.2420537897310513,41.0,200,True,2.0439659621469946,middle,2092737653,ok,409,200,30,3.640586797066015,0.2420537897310513,3.997554958630189e-05,-10.132218040481291,0.0077637745532084,0.2,0.0,0.61,0.39,ambiguous,ambiguous,ambiguous,,,,,
Atf4,387,318,5.31266149870801,30.65934873037812,5.770996088840628,0.1782945736434108,44.0,200,True,2.0909427825128177,middle,717742383,ok,387,200,30,5.31266149870801,0.1782945736434108,0.0143322122698171,-8.075667538446112,0.0077637745532084,0.6666666666666666,0.1403333333333333,0.0006666666666666,0.859,ambiguous,ambiguous,ambiguous,,,,,
Atf5,361,275,7.022160664819944,86.64770835091811,12.33918055805974,0.2382271468144044,106.0,200,True,2.8289327579833365,higher_dispersion,53462487,ok,361,200,30,7.022160664819944,0.2382271468144044,0.0231643168410535,-7.00211581493096,0.0077637745532084,0.7333333333333333,0.3306666666666666,0.0,0.6693333333333333,ambiguous,ambiguous,ambiguous,,,,,
Atic,409,314,2.76039119804401,10.113736766279493,3.663878066792128,0.2322738386308068,22.0,200,True,1.7721211438535736,lower_dispersion,1765421529,ok,409,200,30,2.76039119804401,0.2322738386308068,-3.2011701200929115e-08,-10.15034763091444,0.0077637745532084,0.0,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
Atoh8,402,293,3.328358208955224,13.528996807009728,4.0647658568145815,0.2711442786069651,19.0,200,True,1.893452187561801,middle,344841574,ok,402,200,30,3.328358208955224,0.2711442786069651,0.0052316666132083,-8.783399127696441,0.0077637745532084,0.4,0.003,0.151,0.846,ambiguous,ambiguous,ambiguous,,,,,
Atox1,413,408,9.830508474576272,42.89621209012189,4.363580195374468,0.0121065375302663,38.0,200,True,1.691738236533955,lower_dispersion,395327171,ok,413,200,30,9.830508474576272,0.0121065375302663,-2.9440384707868363e-08,-10.15034763074459,0.0077637745532084,0.0333333333333333,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
Atp13a3,407,306,2.336609336609337,7.166792434605703,3.067176152349654,0.2481572481572481,18.0,200,True,1.651106186745713,lower_dispersion,1578651274,ok,407,200,30,2.336609336609337,0.2481572481572481,7.523054428304476e-08,-10.1503476316405,0.0077637745532084,0.0,0.0,1.0,0.0,K2,K2,stable_K2,,,,,
Atp1a1,363,312,9.5564738292011,74.18069500413603,7.762350039348913,0.140495867768595,55.0,200,True,2.31096000607118,higher_dispersion,837340330,ok,363,200,30,9.5564738292011,0.140495867768595,0.0490524614629894,1.195548875603663,0.0077637745532084,0.8666666666666667,0.8426666666666667,0.0,0.1573333333333333,K3,K3,formal_K3,K3,0.9793333333333332,0.0,0.9,0.0454447255397672
Atp1b3,413,383,6.6440677966101696,32.108179094677226,4.832608588229481,0.072639225181598,31.0,200,True,1.8361035677064748,middle,1308054970,ok,413,200,30,6.6440677966101696,0.072639225181598,4.598111861042753e-07,-10.131654606578934,0.0077637745532084,0.0666666666666666,0.0,0.9743333333333334,0.0256666666666666,K2,K2,stable_K2,,,,,
Atp2a2,405,372,6.325925925925926,26.935747599451304,4.257992887501084,0.0814814814814814,30.0,200,True,1.7412308550878155,lower_dispersion,832508025,ok,405,200,30,6.325925925925926,0.0814814814814814,0.000365155440938,-9.32564745251966,0.0077637745532084,0.2333333333333333,0.0,0.419,0.581,ambiguous,ambiguous,ambiguous,,,,,
Atp5a1,413,405,18.63680387409201,183.75670842884696,9.85988314682523,0.0193704600484261,93.0,200,True,2.4044460145354827,higher_dispersion,192280465,ok,413,200,30,18.63680387409201,0.0193704600484261,-3.006672815324408e-05,-8.11853378408091,0.0077637745532084,0.2666666666666666,0.0,0.3343333333333333,0.6656666666666666,ambiguous,ambiguous,ambiguous,,,,,
Atp5b,413,406,21.25181598062954,189.7574119564516,8.928997509173351,0.0169491525423728,101.0,200,True,2.312408669730001,higher_dispersion,1805729769,ok,413,200,30,21.25181598062954,0.0169491525423728,0.0076828030334294,-3.2069440847172928,0.0077637745532084,0.4666666666666667,0.0016666666666666,0.002,0.9963333333333332,ambiguous,ambiguous,ambiguous,,,,,
