gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role
Abcc1,2,202,3.4192059859858945,0.8539842552664231,0.07251048453716545,903.8357576024516,2.2766643768323718,397,72,3.694915911127822e-17,2.772897381189308,0.9207481497408292,11.77738999701086,40.26932237706993,,,,,stable_K2
Abhd4,2,202,2.820880693525203,1.1538005067144348,0.09038665609052346,990.5446156884315,2.3984131130470496,413,73,3.8471946936655196e-18,2.772897381189308,1.2684516057729025,12.765164202544323,36.00900524863632,,,,,stable_K2
Abi3bp,2,303,27.931474052756936,0.43965230440318,0.06649107505787893,1374.3046727885567,3.3601581241774,409,168,3.295372696880345e-07,2.777697630751873,0.4709674355073135,6.612200269291373,184.68850025334442,,,,,stable_K2
Acadl,2,303,3.381742807721219,0.8027787378610455,0.0731965013189251,849.1856561043003,2.0813373924125007,408,70,6.309390376644308e-18,2.777697630751873,0.8661800899580894,10.967446850543462,37.089084505890085,,,,,stable_K2
Acads,2,202,2.9771320432581025,0.7565416645647508,0.0783249286789463,823.5955676157178,1.9941781298201398,413,70,-3.8777323132313714e-18,2.772897381189308,0.8208333805539362,9.659015045718245,28.756163198919914,,,,,stable_K2
Acat1,2,303,3.8820582370741854,1.100881336209246,0.08462042182826542,1050.9106546877642,2.5820900606578974,407,94,-1.0237775383688912e-17,2.777697630751873,1.2026500945192697,13.009641318539527,50.50418524201704,,,,,stable_K2
Acly,2,303,3.4828420621596523,0.8715198557695136,0.07544541514989411,893.1910596961609,2.3139664758967897,386,77,-1.4094346774160698e-17,2.777697630751873,0.9426375360096337,11.551660946367486,40.23261063181565,,,,,stable_K2
Aco2,2,303,2.548343864814768,0.9893701765574419,0.07176387976449723,820.8266939286364,2.031749242397615,404,70,-6.315019442641243e-19,2.777697630751873,1.0658604583351365,13.786464441501664,35.13265207698772,,,,,stable_K2
Acot7,2,303,7.126036039486311,0.5131920282502038,0.057649608351991156,985.7921413216754,2.4043710763943302,410,91,1.1027406013114064e-13,2.777697630751873,0.5445872711452044,8.901916993378476,63.435381315330645,,,,,stable_K2
Actn1,2,101,32.822026220316516,1.5548604382865379,0.15295580258241148,1969.0081415926068,4.767574192718176,413,433,5.566509587883046e-18,2.7720772594232392,1.8356308242555606,10.165423030935948,333.64978126198906,,,,,stable_K2
Actr1b,2,202,2.9180993193972147,0.9733669648133392,0.08528085587185834,920.8463501707059,2.262521744891169,407,70,-6.789956154935326e-18,2.772897381189308,1.0641156589557303,11.413663182225855,33.30620276388232,,,,,stable_K2
Actr2,2,202,2.490118203931171,1.8637511170611623,0.09458692805507325,992.5190967981761,2.4031939389786348,413,70,3.1149196121659613e-16,2.772897381189308,2.0584539530201615,19.70410875354777,49.06555989944884,,,,,stable_K2
Adam12,2,101,3.121223639519962,0.8762560250929402,0.07287195763327536,861.1886578130898,2.1913197399824167,393,71,1.1094289057459171e-17,2.7720772594232392,0.9451294589861384,12.024598399052989,37.531460778858076,,,,,stable_K2
Adam19,2,303,4.169401013550589,1.2512265958040774,0.09075716983548546,1115.5442846320982,2.7142196706377084,411,85,6.453713163525808e-16,2.777697630751873,1.3761192877129267,13.786531665455879,57.481579099299026,,,,,stable_K2
Adam9,2,101,4.841982839030275,1.3535821374740578,0.09434334308514698,1206.1793230011401,2.9205310484289106,413,86,3.580618968218336e-13,2.7720772594232392,1.494586416540101,14.347404842887745,69.46988803388233,,,,,stable_K2
Add1,2,303,2.550628066319785,1.2323960638499825,0.08145899157285992,889.5094307909121,2.2182280069598805,401,76,-1.5457077078078995e-17,2.777697630751873,1.3416886699051909,15.129036587049841,38.58854533530821,,,,,stable_K2
Adh5,2,303,3.651061834477887,1.170780420488435,0.08243527885208492,1039.9897219564252,2.5181349199913443,413,70,1.3802793423564858e-13,2.777697630751873,1.2759649466729013,14.202419604708162,51.85391217599049,,,,,stable_K2
Adipor1,2,303,3.9022598304016216,1.5186589266206112,0.10610166793641274,1146.5131933530834,2.7760610008549236,413,74,3.1344340854296124e-13,2.777697630751873,1.6989168366773302,14.313242724240219,55.85399212559088,,,,,stable_K2
Adipor2,2,303,3.7208210584344488,0.6567415715928815,0.061059945064518076,848.3465448060479,2.1696842578159794,391,97,-1.193390571189449e-17,2.777697630751873,0.6994499469276647,10.755685595506929,40.01998146166225,,,,,stable_K2
Adra1d,2,202,3.7302726345355643,0.6696928200237813,0.07676922162830041,791.7049613392181,2.0248208729903276,391,70,8.033908819576124e-18,2.772897381189308,0.7253796512340255,8.723454606147836,32.54086399592649,,,,,stable_K2
Adss,2,303,2.195992906036778,1.122893615320635,0.07201213372431221,838.0817761028275,2.0642408278394764,406,70,-1.9619840062419562e-19,2.777697630751873,1.210030492992507,15.593116843606758,34.24237397156303,,,,,stable_K2
Aebp1,2,202,31.765270114329564,1.2226633165794778,0.13761986924920555,1868.6848635183717,4.524660686485161,413,355,1.0271490760730225e-17,2.772897381189308,1.417777698003105,8.884351680101135,282.21383090911024,,,,,stable_K2
Aebp2,2,101,3.1914474138967424,0.7810821899446333,0.0617336737286393,885.6356755338026,2.1867547544044506,405,72,6.062603289027662e-18,2.7720772594232392,0.8324738595795377,12.652449510424585,40.379627269503644,,,,,stable_K2
Afg3l2,2,303,3.611956366386237,0.8972235973572666,0.07158938173891347,918.1712870235664,2.2559491081660106,407,72,9.409695543277407e-16,2.777697630751873,0.9664081600421232,12.532914456915439,45.26834016202983,,,,,stable_K2
Ahnak,2,101,17.76535492892933,1.8937758973860332,0.12276886390495972,1780.3657219776014,4.310812886144314,413,285,8.862827813510202e-15,2.7720772594232392,2.1588106252316823,15.425538993763766,274.0401751942527,,,,,stable_K2
Aimp1,2,303,2.6126570341246325,0.9631414233393873,0.07946548438298588,820.497832210842,2.056385544388075,399,70,2.4217397337184693e-18,2.777697630751873,1.046284964875885,12.120248568516908,31.666052677874706,,,,,stable_K2
Ak2,2,303,7.60846992297926,1.0578042062376378,0.08617814585978956,1265.1974155606945,3.063431998936306,413,100,7.547866467090606e-11,2.777697630751873,1.1575606355276942,12.27462247747437,93.39109593578891,,,,,stable_K2
Akap12,2,101,7.53466868730434,0.9994729571628607,0.06321482051895741,1265.3183183993592,3.0786333781006308,411,134,7.285268929248008e-15,2.7720772594232392,1.0669179861668452,15.810737876937102,119.12867160453467,,,,,stable_K2
Akt1,2,303,6.5093211948100365,0.9698657779684875,0.07494154888464208,1189.610443518546,2.988970963614437,398,108,1.2800038012617361e-14,2.777697630751873,1.0484372925830845,12.941629742152875,84.24122477597966,,,,,stable_K2
Aldh2,2,303,3.2448510033154934,0.9213914979512438,0.07394364029752011,927.4518579637925,2.3128475260942456,401,72,1.88774862663682e-17,2.777697630751873,0.9949626589112408,12.460726767629062,40.433201753981386,,,,,stable_K2
Alg5,2,101,3.197461122293576,1.197470248580116,0.07658414897558657,979.3661069787272,2.436234096962008,402,70,7.914978938512151e-15,2.7720772594232392,1.2967832935201122,15.636006466061856,49.99552278316375,,,,,stable_K2
Amfr,2,101,3.2269817751478365,0.8765237132304771,0.07897119766711876,897.804819398721,2.1951218078208337,409,70,1.0458946144370077e-18,2.7720772594232392,0.9516789388239794,11.099283525181173,35.81718565295828,,,,,stable_K2
Anapc16,2,101,3.414311305054253,1.4196661699309836,0.09777110812790085,1077.6124751853688,2.6092311747829755,413,70,4.232807179611523e-14,2.7720772594232392,1.5735099847946754,14.520303565280496,49.576836615756775,,,,,stable_K2
Anapc4,2,202,2.395944881803225,0.8301937466578785,0.07767847136763184,775.8819273657946,1.9843527554112392,391,70,9.146140098097152e-19,2.772897381189308,0.900113161067488,10.687565448202362,25.606817734557442,,,,,stable_K2
Anp32b,2,101,2.2095872559719325,1.0717498407259447,0.07820807618307635,801.5671400863026,2.039611043476597,393,70,-8.752947492206609e-18,2.7720772594232392,1.16268087518936,13.703825653722747,30.279798522527017,,,,,stable_K2
Anxa1,2,202,35.966744176344974,1.587310819257567,0.18063635227635816,2025.2092421005004,4.903654339226393,413,487,-1.389186429379659e-17,2.772897381189308,1.9372482824536306,8.787327684900973,316.051566836547,,,,,stable_K2
Anxa2,2,101,35.721928960799524,1.4073125187408275,0.15179205042896074,1947.0488405368867,4.737345110795345,411,437,3.3400721733559967e-18,2.7720772594232392,1.659159784404923,9.27131898385848,331.18939811430465,,,,,stable_K2
Anxa3,2,101,12.729332992714669,1.962327116371161,0.10749875392557004,1718.4074239132958,4.160792793978924,413,240,1.0779082990736262e-15,2.7720772594232392,2.1986827749566116,18.25441732775653,232.36655675299357,,,,,stable_K2
Anxa4,2,101,4.152029327196581,1.0088315680466968,0.07655667588703462,1004.4853440987703,2.4863498616306194,404,82,7.139104574999696e-16,2.7720772594232392,1.0924672274995901,13.177578001627277,54.71369032417696,,,,,stable_K2
Anxa5,2,101,12.500951469723846,1.7289995033411114,0.09500171792121917,1643.6396837541392,3.9797571035209183,413,209,8.841639083944512e-13,2.7720772594232392,1.9105003153924225,18.199665660518857,227.51313718734582,,,,,stable_K2
Ap2b1,2,303,3.6788931554319686,1.3848469015136184,0.0950826645757306,1083.4031311131998,2.636017350640389,411,78,2.4418727710819553e-15,2.777697630751873,1.5303573567461106,14.564662314555013,53.58183650019437,,,,,stable_K2
Ap2s1,2,202,4.345599364117879,1.7128965617157397,0.0938852611182756,1218.861906183298,2.9656007449715283,411,82,8.785493311418437e-12,2.772897381189308,1.890374903105207,18.244573656325585,79.28360767953026,,,,,stable_K2
App,2,101,9.273496309457963,1.3706756796436934,0.08672384638199386,1435.9082467864605,3.4767754159478463,413,134,8.428448269620538e-11,2.7720772594232392,1.5008337557196338,15.805060970269437,146.56817457855172,,,,,stable_K2
Aprt,2,101,6.031716961307275,2.0845942865058134,0.10906120477905912,1380.3031073340198,3.342138274416513,413,108,2.8874647938508435e-11,2.7720772594232392,2.339772718044972,19.11398549767421,115.2901505245028,,,,,stable_K2
Arcn1,2,101,3.2230714964448066,1.259248032938213,0.08963794287796738,988.5764114118538,2.4652778339447723,401,70,1.8514578924566157e-15,2.7720772594232392,1.3832387049600123,14.04815854210919,45.27821937460976,,,,,stable_K2
Arf4,2,101,6.405232783032454,2.1346254645572738,0.11020644727444144,1397.04245512244,3.382669382863051,413,116,1.6492416930754713e-11,2.7720772594232392,2.399012060739961,19.36933380350721,124.06509186372307,,,,,stable_K2
Arf6,2,303,3.0406834804117997,1.1334447297793817,0.08153194412438577,912.8442914291443,2.3834054606505073,383,72,2.366215794720474e-17,2.777697630751873,1.2340600443624807,13.901848434402467,42.271120881676225,,,,,stable_K2
Arfgap1,2,202,2.9317857904967086,0.7560152367871247,0.07871550225028344,785.0291316096792,1.992459724897663,394,70,1.0865700333746981e-17,2.772897381189308,0.8206099621058748,9.604400850842598,28.158045940734826,,,,,stable_K2
Arfip1,2,303,2.3052528757801953,0.9903356275207409,0.07331110321692365,782.3192924424957,1.9606999810588863,399,70,-5.8837270908366334e-18,2.777697630751873,1.0686818747463243,13.508671729988711,31.1409043535271,,,,,stable_K2
Arhgap1,2,202,3.9211205955388606,1.2693665039129531,0.09512748046749851,1113.26798446966,2.6955641270451816,413,70,7.02194935341178e-13,2.772897381189308,1.4028125249828185,13.343846569621363,52.3228316078529,,,,,stable_K2
Arhgef25,2,303,5.0965071614796,0.6964440051476223,0.06244706712947809,948.395137768494,2.370987844421235,400,82,1.9958150093377982e-14,2.777697630751873,0.7428316639310248,11.152549465671646,56.839048220551035,,,,,stable_K2
Arid5b,2,202,3.0602568301039765,0.8375875688335788,0.08267285444859733,851.3002086612245,2.155190401673986,395,70,-6.8522095568758594e-18,2.772897381189308,0.9130740029829897,10.13134933370853,31.0045309966509,,,,,stable_K2
Arl2,2,202,3.441644436979507,1.147375031440491,0.09963414451916063,1015.8073575449121,2.483636571014455,409,71,1.2209796959216712e-16,2.772897381189308,1.2743431178070792,11.515881799134025,39.63357053090317,,,,,stable_K2
Arl4c,2,101,6.248627110636085,0.4690092483926566,0.05722385357091145,720.0672376074325,1.9673968240640232,366,70,2.6985606848527202e-11,2.7720772594232392,0.4974767872194287,8.196044466167649,51.21402565127403,,,,,stable_K2
Arl6ip1,2,303,7.0334024768661365,0.709131788648216,0.06329915159806003,1050.9978050264913,2.595056308707386,405,87,9.649334000129545e-11,2.777697630751873,0.7570525743176507,11.202864031276357,78.79425162557368,,,,,stable_K2
Arl8b,2,101,3.4714828433812706,1.2585865499873308,0.08925797251959072,967.8055578678541,2.4501406528300103,395,70,2.8376366618332495e-14,2.7720772594232392,1.3819352923343642,14.100550510612269,48.9498191798215,,,,,stable_K2
Arpc3,2,202,3.451882395881935,1.7248301413093132,0.09514983462448084,1105.1290669751927,2.6758573050246794,413,70,3.85020199662049e-12,2.772897381189308,1.9062052561967502,18.12751591336488,62.574053062413874,,,,,stable_K2
Arpc5,2,101,15.027383003415594,1.4254294780009955,0.08915009520720953,1637.8789005825313,3.9658084759867585,413,209,5.531330622507555e-11,2.7720772594232392,1.564944422237456,15.989096530832663,240.27427744740598,,,,,stable_K2
Arpc5l,2,202,2.1661516609937026,1.2286044247783037,0.09348276476142074,823.4964289713982,2.069086504953262,398,70,-1.46023224894007e-17,2.772897381189308,1.3553017824917104,13.142576900820702,28.46881478345023,,,,,stable_K2
Asns,2,101,8.942644333544415,1.2672887900577756,0.07884700216173628,1416.4377536396278,3.4296313647448615,413,129,1.0451121495768633e-10,2.7720772594232392,1.375763627792358,16.072758067050255,143.73295885273726,,,,,stable_K2
Atic,2,202,2.854652576949973,1.0196022378170024,0.09572572540814338,892.4680742766514,2.1820735312387565,409,70,-7.849909553707372e-18,2.772897381189308,1.1275364858490518,10.651287660341563,30.40572576742949,,,,,stable_K2
Atox1,2,101,5.404212320338007,1.8543016647498503,0.10647314730722914,1311.7523219489854,3.1761557432178824,413,89,2.3090259539927479e-10,2.7720772594232392,2.0752612628950624,17.415674389705487,94.11800210384149,,,,,stable_K2
Atp13a3,2,303,2.23907315072,1.0476520746076095,0.06880338480927026,828.0369783550921,2.0344888903073515,407,70,-4.960929053977321e-18,2.777697630751873,1.1250600115132798,15.226751961575786,34.093811489837435,,,,,stable_K2
Atp1b3,2,303,4.860733986053744,1.350374879496145,0.09578855682404758,1208.47001950382,2.9260775290649392,413,76,5.51573896469718e-11,2.777697630751873,1.4934282127121594,14.09745510600631,68.52397915063176,,,,,stable_K2
Atp5c1,2,101,12.948509395497064,1.554287135086907,0.09430821869203652,1604.4584237643207,3.8848872246109463,413,193,1.3702321892832696e-11,2.7720772594232392,1.7161325377627568,16.480929834571803,213.40347480948088,,,,,stable_K2
Atp5j2,2,202,6.770205796449139,2.4574176081073325,0.10847556129360773,1460.9094199243782,3.5373109441268236,413,128,4.347590072952191e-11,2.772897381189308,2.756422035578813,22.654112860093065,153.37300619881506,,,,,stable_K2
Atp5o,2,101,5.587700839800827,1.977394934910043,0.10493973423957025,1340.4968221966528,3.2457550174253096,413,100,3.132687643149355e-11,2.7720772594232392,2.2092310546598535,18.843147919507643,105.28987345432407,,,,,stable_K2
Atp6v0a2,2,303,3.460068692625413,0.6861624255291453,0.06526635316771358,731.5063163991395,1.9717151385421547,371,70,1.1039063883715105e-17,2.777697630751873,0.734072671776048,10.51326437323575,36.37661691512715,,,,,stable_K2
Atp6v0b,2,202,4.519878298142021,1.5150026594500343,0.089538634816396,1190.0545503860849,2.909668827349841,409,84,2.321190827878051e-12,2.772897381189308,1.663994450928204,16.920100050180935,76.47679301920452,,,,,stable_K2
Atp6v0d1,2,202,2.295808034466478,1.297351203550751,0.09586108885384229,909.3197581319218,2.2017427557673654,413,70,-1.6106064224119782e-18,2.772897381189308,1.4349025216779208,13.533658119915575,31.070681047424667,,,,,stable_K2
Atp6v0e,2,303,11.017367720304637,2.119884188413464,0.18160224278774814,1609.2170093914228,3.8964092237080457,413,189,5.811208911563612e-18,2.777697630751873,2.5902859211571263,11.673226915435885,128.6082334099146,,,,,stable_K2
Atp6v1a,2,101,4.819289676755547,1.1779676998496584,0.08504720161959037,1178.4022829894968,2.853274292952777,413,85,1.6281879807727367e-13,2.7720772594232392,1.287462808939238,13.850752022607608,66.75078623785386,,,,,stable_K2
Atp6v1f,2,101,2.6233677268267455,1.4422200353830215,0.09534929833345282,914.1508551448505,2.213440327227241,413,70,7.795642522611421e-18,2.7720772594232392,1.5942286152281362,15.125649171945986,39.68013988498679,,,,,stable_K2
Atxn10,2,303,2.9383284516741996,1.136965855372045,0.07906704272230404,913.6233510063342,2.3426239769393185,390,75,-9.074981822228336e-18,2.777697630751873,1.2345804831797402,14.379769575615075,42.252486072548805,,,,,stable_K2
Aurkaip1,2,303,3.575865838450702,1.4017367651150456,0.09577967146439005,1110.2304707176113,2.7144999284049174,409,75,7.729612818791363e-15,2.777697630751873,1.550215938393208,14.635013293360457,52.33284408099956,,,,,stable_K2
Avpi1,2,202,4.110907098424563,0.956333423563195,0.08932288780274185,1048.0915612678991,2.5751635411987692,407,70,2.432889924227207e-14,2.772897381189308,1.050134466711015,10.70647677306554,44.01333136551284,,,,,stable_K2
Axl,2,202,7.74774656809515,2.1645172405467474,0.1043900808597228,1553.9097650786853,3.7624933779144922,413,175,1.0805333056839153e-16,2.772897381189308,2.4168080257803894,20.73489380140801,160.6487022896763,,,,,stable_K2
B2m,2,202,5.780363198031326,1.6214620164986207,0.08906981901373365,1286.687701509431,3.1154665896112133,413,93,3.183934367063068e-10,2.772897381189308,1.7800069097974773,18.204393300143654,105.22800507463842,,,,,stable_K2
BC004004,2,303,4.036594035077306,1.246836731167891,0.08547973515172792,1099.197078262407,2.6875234187344916,409,72,1.99090086698814e-12,2.777697630751873,1.3633779141840596,14.586342937945883,58.87914489690434,,,,,stable_K2
BC031181,2,202,3.441937001148689,1.557073974866809,0.09511185591119556,1078.3573958276233,2.6626108538953663,405,72,1.569564991587233e-13,2.772897381189308,1.720736408183065,16.370976677404176,56.347870370899656,,,,,stable_K2
Bad,2,303,2.46356781472814,1.0827456501016162,0.07464192787568844,821.8645568816924,2.0495375483333973,401,70,-1.3113928922691099e-17,2.777697630751873,1.1700828930102654,14.505863941575342,35.73617953129049,,,,,stable_K2
Bag2,2,202,6.592441775446715,0.7455239031424882,0.08326514130642926,1072.8112959664277,2.635899990089503,407,87,1.5185035342940681e-13,2.772897381189308,0.8132383055717184,8.953613618438945,59.02617645940553,,,,,stable_K2
Bag3,2,101,5.32059394751579,0.6285102277822854,0.06264233645272715,903.4237714568815,2.3224261477040655,389,74,1.171695411511459e-12,2.7720772594232392,0.6705127105952212,10.033313943463599,53.383189441118205,,,,,stable_K2
Bak1,2,303,2.701056029569924,1.1461620215796737,0.07789437932276562,952.6598152255281,2.329241602018406,409,78,-6.54120241675729e-18,2.777697630751873,1.2429834455817357,14.714309704303574,39.744174947768414,,,,,stable_K2
Bax,2,202,11.38767218688899,1.605408614948282,0.10150539794755414,1610.3371761189087,3.899121491813338,413,191,2.5558009792017115e-14,2.772897381189308,1.786776026568241,15.81599252266136,180.107338158355,,,,,stable_K2
Baz1b,2,303,3.656274296369592,0.5756576351656854,0.058393173062279286,748.5371924794356,2.0014363435279026,374,70,5.5497969809470495e-18,2.777697630751873,0.6113566923020622,9.858303719027518,36.04466249368507,,,,,stable_K2
Bbip1,2,101,3.7443521641497557,1.0032838274981934,0.09011367884873414,959.8071348367408,2.4055316662574957,399,70,2.0341363646566323e-15,2.7720772594232392,1.1026474452640995,11.133535333545945,41.68787712080053,,,,,stable_K2
Bccip,2,303,2.504503609674597,1.1251986697906124,0.0732817840011744,895.9709297772918,2.201402775865582,407,70,-9.830608908618298e-18,2.777697630751873,1.2141756257352325,15.354411537969385,38.45517912127361,,,,,stable_K2
Bckdk,2,202,3.006950528820287,1.2097177025455683,0.10103691858944165,992.5142280996387,2.4148764673957146,411,70,-1.1842129413480919e-17,2.772897381189308,1.3456811826436814,11.973026488081988,36.00229832991744,,,,,stable_K2
Bclaf1,2,101,3.6229267903937306,0.9695504619019504,0.08606239065854424,880.6294763050262,2.3736643566173212,371,70,6.938371769876457e-16,2.7720772594232392,1.060849725399272,11.26566964365048,40.814696363706716,,,,,stable_K2
Bicc1,2,101,4.1433320589061875,0.7163064685144724,0.07361266728539233,922.7898259103144,2.2507068924641818,410,70,1.8818557581231715e-15,2.7720772594232392,0.7732256726951005,9.730750085951797,40.31772878832822,,,,,stable_K2
Bid,2,101,3.6099899870608168,0.8379532144022688,0.08346979281256302,917.0038144162669,2.2311528331296033,411,70,5.265127610406878e-17,2.7720772594232392,0.9142668815834254,10.03899957298263,36.240687938575114,,,,,stable_K2
Blvrb,2,101,5.945476773498328,0.618819999690351,0.06075421847777858,1005.1361003704255,2.4696218682320037,407,72,1.2528381816396232e-10,2.7720772594232392,0.6588477817674504,10.185630153677149,60.55842750213169,,,,,stable_K2
Bmp1,2,202,7.467779846390854,1.1093275754976857,0.087797989561126,1282.5278459914202,3.1511740687749885,407,138,-3.6754089459917354e-17,2.772897381189308,1.2160985865005622,12.63499974250958,94.35539643626666,,,,,stable_K2
Bms1,2,101,3.0349765484343854,0.813417059494373,0.08040162715756634,740.0973142736257,1.973592838063002,375,70,1.932072597857263e-18,2.7720772594232392,0.8845351226320036,10.116922856552225,30.704623611955817,,,,,stable_K2
Bop1,2,303,3.830115188443414,0.5991885828177159,0.06487477649740274,733.3660833767331,1.9820704956127921,370,70,1.0732404382036403e-17,2.777697630751873,0.6407575881371269,9.236079338812125,35.37524775725272,,,,,stable_K2
Bsg,2,202,29.057691143633818,1.9451066933732393,0.18282970863662054,1980.1642206189445,4.794586490602771,413,440,1.1338411830253314e-20,2.772897381189308,2.3802954095749045,10.638898392816435,309.1418236069622,,,,,stable_K2
Btg1,2,303,3.35171218041592,0.8559141412053574,0.06452811741244968,879.642014464974,2.1612825908230318,407,81,-3.952073171993657e-18,2.777697630751873,0.9149544279597873,13.264204435634477,44.457795570442954,,,,,stable_K2
Bub3,2,303,4.476184262704796,0.9926963585270187,0.07747849356444644,1095.0466078541679,2.703818784825106,405,97,-8.06454526830696e-18,2.777697630751873,1.0760685269686636,12.812540782059681,57.351293413918945,,,,,stable_K2
Bud31,2,101,3.30235008394641,1.4020339852796515,0.09273615960334222,1034.50127169715,2.529342962584719,409,70,2.5226791390965038e-14,2.7720772594232392,1.5453431767617665,15.118525408821458,49.92666365296748,,,,,stable_K2
Bysl,2,202,3.07383432326897,0.7935043037099425,0.08036192462507288,849.902316284589,2.0882120793233145,407,70,-6.163482205408838e-18,2.772897381189308,0.8628441176562192,9.874132649411056,30.351447850270475,,,,,stable_K2
Cald1,2,202,23.5472902194198,1.8452990991037153,0.15728130131815393,1853.4503758832814,4.487773307223441,413,327,1.1823926761561425e-16,2.772897381189308,2.189697584722012,11.732476039036465,276.2680182835805,,,,,stable_K2
Calm1,2,101,8.186100799338933,2.395629360735501,0.12085007767739193,1545.2658740120044,3.741563859593231,413,160,1.9922106323637837e-13,2.7720772594232392,2.7249383750231555,19.823151186800306,162.2743137756825,,,,,stable_K2
Calr,2,101,18.400245230984478,1.6877876320879224,0.11724710344916536,1745.4685763226566,4.226316165430162,413,273,6.482445934606997e-14,2.7720772594232392,1.9119593248377729,14.395132864153814,264.87397483303414,,,,,stable_K2
Calu,2,101,9.517862311861206,1.8967448438888692,0.09785126458286833,1553.3465651808128,3.7611296977743653,413,165,4.666918845360336e-12,2.7720772594232392,2.1024746468351037,19.38395841867279,184.4938472877705,,,,,stable_K2
Cant1,2,101,2.52215764026212,0.8146862749608278,0.07650995450250382,793.8499588967829,1.936219411943373,410,70,-9.792780146490715e-18,2.7720772594232392,0.882181977957267,10.648108213607248,26.856207485287356,,,,,stable_K2
Canx,2,101,7.552694245278644,1.9510802772821425,0.10049402539208463,1466.3589113586431,3.5505058386407824,413,137,3.1588859640715428e-12,2.7720772594232392,2.169057607574643,19.414888294800246,146.63471509686553,,,,,stable_K2
Capg,2,202,9.242073936427133,1.3312196438569768,0.08763745212741458,1441.1377535948018,3.5064178919581552,411,132,6.363854928037634e-11,2.772897381189308,1.4590906290060541,15.19007697669644,140.38781451864804,,,,,stable_K2
Capns1,2,101,6.500664356728516,1.6393368685683096,0.09038039666729308,1358.0960247397786,3.2883680986435317,413,127,3.2147172405531056e-14,2.7720772594232392,1.802222448331182,18.138190680917358,117.9102896549848,,,,,stable_K2
