gene,state,n_cells,mmax_cdf,max_abs_cdf_difference,mean_abs_cdf_difference,total_variation_empirical_vs_fit,nll_recomputed,nll_per_cell_recomputed,fsp_boundary_mass_cdf
Cald1,2,413,327,0.12203464236675476,0.01901932973773367,0.2258659296820522,1853.4503758832814,4.487773307223441,1.1823926761561418e-16
Calm1,2,413,160,0.057343733374660394,0.008469383650784593,0.14482940924855225,1545.2658740120032,3.7415638595932283,1.9926150454894468e-13
Calr,2,413,273,0.11085347994748523,0.015366758744699872,0.1907302826083332,1745.4685763226564,4.226316165430161,6.482445934606993e-14
Calu,2,413,165,0.03776278648136744,0.0038041726912992633,0.13413094751884405,1553.3465651808124,3.761129697774364,4.666918846378926e-12
Cant1,2,410,70,0.01826226144441645,0.0011220914250428431,0.038447912943156776,793.8499588967832,1.9362194119433735,2.4074266287622883e-18
Canx,2,413,137,0.06215044885721288,0.007241668112691475,0.15934036693383227,1466.35891135866,3.5505058386408233,3.1588172941825633e-12
Capg,2,411,132,0.03452782209364025,0.0040617771713523385,0.1628010598388019,1441.1377535948016,3.506417891958155,6.36385214996905e-11
Capns1,2,413,127,0.04360262839763385,0.005704073948233855,0.11935861976824289,1358.0960247393339,3.288368098642455,3.2211443360732664e-14
Capza2,2,411,70,0.08001787099183155,0.008140183359455929,0.11035795981783268,925.0539931943844,2.250739642808721,-9.377437914465543e-18
Cast,2,383,75,0.0812434759537014,0.004526596236566514,0.1329883140084882,827.2957365807292,2.1600410876781444,7.171089508036705e-18
Cat,2,409,70,0.05168764428901107,0.004558293579512244,0.07402472048921213,920.0781155279869,2.2495797445672054,3.840073500644249e-17
Cav1,2,413,151,0.03880404594342812,0.005734863905349686,0.10386618577898268,1508.192592473888,3.6517980447309637,3.2280152141012817e-16
Cbfb,2,383,70,0.023388455832899613,0.0026191402594070313,0.06943653368244479,871.3461042886363,2.275055102581296,2.248224314589899e-18
Cbx5,2,390,73,0.029496592780457576,0.0045115262834169775,0.1121893650435348,974.4410502876702,2.498566795609411,5.417860323518126e-12
Ccdc109b,2,409,85,0.03468661955921437,0.0029228159253912537,0.0802643521228113,931.3341612129175,2.27710063866239,1.0774984930502809e-14
Ccdc50,2,413,70,0.057320126380670855,0.004479012267454382,0.07185912853461404,818.9432976190016,1.9829135535569045,2.1599550933856506e-18
Ccdc55,2,402,70,0.022573545189870536,0.0016729970531064856,0.05509923924764688,879.6358383990721,2.188148851738985,4.198078684190205e-17
Ccdc80,2,413,207,0.03581710325809795,0.004582780606841293,0.1436896724584168,1627.0824059041647,3.9396668423829655,1.7543282005632486e-11
Ccl2,2,413,400,0.06414214743411217,0.014287503417279008,0.22152047154782645,1958.86491896007,4.743014331622446,5.130055561938374e-13
Ccl8,2,411,250,0.11082686719340662,0.012082472033325506,0.17121124588206332,1170.6929256400126,2.848401278929471,2.595149023385409e-13
Ccm2,2,411,70,0.07236912693101849,0.004371210815553044,0.14624867906772845,790.1794058986522,1.922577629923728,-3.9121826291917435e-18
Ccnd1,2,413,90,0.06513800349308208,0.009854466522384229,0.12077626203372274,1065.8357935414422,2.580716207122136,2.7071304688944292e-08
Ccnd3,2,407,70,0.05532076865583335,0.005012336801364849,0.07183644933646517,925.9842727194039,2.2751456332172086,2.4075589500784876e-17
Ccne1,2,403,122,0.019659340057247926,0.0023831657826320655,0.08247782341696769,1188.9234166112565,2.950182175214036,2.168249764842891e-10
Ccng1,2,413,179,0.07755619040929776,0.010471411068915998,0.17683668234905345,1533.0057748857105,3.7118783895537786,4.3951439539382555e-15
Cct6a,2,413,78,0.016612251746120243,0.0024791027348772888,0.08536312645075028,1236.4153636173178,2.9937418005261933,6.802668803780396e-11
Cd164,2,413,92,0.06806130967843715,0.008689125654678458,0.1326509390294935,1241.1787367739205,3.005275391704408,3.81625595702456e-13
Cd44,2,413,238,0.0970250793294204,0.013396590165600526,0.18300145836434864,1661.5468887900088,4.0231159534867045,1.4794518045084976e-16
Cd81,2,413,303,0.1461775998865178,0.02261524322189678,0.24062854111581186,1804.3861089324305,4.368973629376345,5.484295246020834e-15
Cdc16,2,413,81,0.08437459663763291,0.009296038220192237,0.15392371955849404,1110.4810363106117,2.6888160685486966,1.3163740394955264e-15
Cdc42,2,413,133,0.06935437472088324,0.008511462305405375,0.14297809269565837,1441.0808851282168,3.4892999639908395,5.972551204323603e-14
Cdc42bpa,2,400,74,0.030334584142882703,0.002710530623356702,0.08934183729357134,854.8539301447165,2.1371348253617914,1.806875863353994e-17
Cdipt,2,413,70,0.034797338838833486,0.003551881792995022,0.07748673047619373,1027.1268840426,2.486990034001453,2.300678048174487e-15
Cdk1,2,407,127,0.11616246810045727,0.008435662974663506,0.16064100814806068,979.5748099633538,2.406817714897675,3.1456746374952768e-09
Cdk5rap3,2,383,70,0.027486062390530752,0.0019612965936153365,0.07040162037181949,820.2301538110743,2.141593090890533,5.887579447033995e-16
Cdk7,2,407,89,0.0647964906463,0.0076703142113360295,0.09830597140482435,1066.4129635503232,2.6201792716224155,1.4093315345823432e-16
Cdkn2b,2,408,133,0.03549571698367804,0.0030711125514968946,0.11562306390329366,1314.8277997728567,3.222617156306021,1.0879981384942192e-09
Cfl2,2,411,70,0.05774094969298771,0.006384942341265966,0.09694940402104875,1023.4755832457279,2.4902082317414305,5.296065116843871e-15
Chmp2b,2,411,81,0.023271297810817243,0.0029037163127315023,0.0638657686769332,925.4941098369707,2.25181048622134,1.3966837196517566e-17
Chmp4b,2,389,71,0.02988048587329381,0.002523343887258579,0.07097920426402755,1051.2707890855072,2.7024956017622292,1.3824769421192854e-11
Chmp5,2,393,70,0.055142531784765025,0.003588037292210587,0.08411822782060012,886.3878872696578,2.2554399167166865,-3.267899722760686e-18
Chst12,2,411,70,0.02109611506854603,0.0022140645244847585,0.06541341253405858,970.9103270639621,2.362312231299178,3.9173987617611253e-13
Chsy1,2,404,70,0.05796898112519305,0.0024414038142342143,0.09473276547011542,838.6913973051186,2.0759688052106897,3.3390252147945784e-19
Ckap4,2,413,91,0.030635371846557347,0.004394253138033864,0.10371546444357174,1286.0209557454475,3.113852193088251,1.1399355678844588e-11
Clic1,2,406,132,0.0438290776491681,0.0072892574311306385,0.11928932959278025,1403.130801542461,3.455987195917392,7.021181959283196e-12
Clint1,2,397,70,0.02497728447822134,0.0021922725694005314,0.06268293221537768,796.4231745591774,2.006103714254855,2.6978661121826403e-18
Cln5,2,413,70,0.04872432400030524,0.006322035852497161,0.08473181073682555,1075.25757395252,2.6035292347518646,2.168249198152874e-13
Clns1a,2,411,70,0.03851848340888653,0.002388876443952601,0.07762902893943296,896.8567532991096,2.1821332197058627,6.398697503896299e-18
Clpp,2,413,71,0.030458731773188807,0.0035080423735242006,0.0756706221322845,1047.5192768334773,2.5363662877323905,1.4287728016423046e-14
Clptm1,2,413,70,0.023929857286723588,0.002028831950883696,0.07021242339167288,1011.6348285110092,2.449479003658618,3.271274285681368e-17
Clptm1l,2,413,79,0.04020780771405996,0.005521307467916946,0.09910944412429279,1194.0026903902694,2.8910476764897566,3.807766480496678e-12
