gene_id,state,kon,koff,ksyn,bs_pred,bf_pred,pon_pred,bs_true,bf_true,pon_true,bs_log10_abs_error,bf_log10_abs_error,pon_abs_error,condition,n_cells,eta,pon_design,switch_total,true_mean,replicate,observed_mean,observed_zero,success,kon_mle,koff_mle,ksyn_obs_mle,ksyn_latent_mle,bs_mle,bf_mle,pon_mle,nll,mle_bs_log10_abs_error,mle_bf_log10_abs_error
188,2,3.1933959281731252,3.689438952202858,4.615712874620278,1.2442105443039124,1.7117713169031206,0.4519684588853994,0.8080808080808081,2.475,0.55,0.18743908514078983,0.16012945837284723,0.09803154111460066,n500_eta1,500,1.0,0.55,10.0,2.0,0,2.026,0.154,True,14.415007087709235,78.22465806344607,13.020431999648705,13.020431999648705,0.16644920312835573,12.171989164450734,0.1556029705438704,875.1868691151161,0.6861730720713458,0.691786353806178
189,2,3.181478847828899,3.68212230985502,4.465590478190294,1.2127762476108845,1.7067708298883226,0.4503220609320459,0.8080808080808081,2.475,0.55,0.17632589025989423,0.1613999914673577,0.09967793906795414,n500_eta1,500,1.0,0.55,10.0,2.0,1,2.068,0.164,,,,,,,,,,,
190,2,6.683101406196821,7.672322972532485,18.045273793303302,2.3519961109440763,3.578052311994776,0.466358406027025,3.2323232323232323,2.475,0.55,0.1380781844291922,0.16007148249910325,0.08364159397297505,n500_eta1,500,1.0,0.55,10.0,8.0,0,7.858,0.0,True,6.812692719449118,8.685147600362184,17.876270678267566,17.876270678267566,2.05825755655806,3.817902404678335,0.43958981244246476,1328.606305500005,0.19601506519427314,0.1882496192554806
191,2,5.978146139070309,6.573313317491286,18.439690403730623,2.80523527680682,3.1308094302385587,0.47629091738372153,3.2323232323232323,2.475,0.55,0.06154549205749256,0.10208143000857656,0.07370908261627851,n500_eta1,500,1.0,0.55,10.0,8.0,1,8.026,0.004,,,,,,,,,,,
192,2,0.5871466470245513,0.8492529926828941,4.80940486307854,5.663100282855691,0.34714297702753905,0.408762736214649,27.77777777777778,0.072,0.6,0.6906432469995725,0.6831758871349795,0.191237263785351,n500_eta1,500,1.0,0.6,0.3,2.0,0,2.048,0.348,True,0.12259496010814945,0.07450483261344959,3.2925474132342076,3.2925474132342076,44.19240065026115,0.04634158593465264,0.6219943634406215,928.0599608597117,0.2016500950166763,0.1913616039889107
193,2,0.49785551329679084,0.8937921092789805,4.829298754402,5.403156622514582,0.31405611977331654,0.3836169090879081,27.77777777777778,0.072,0.6,0.7110499425193627,0.6396747641583271,0.2163830909120919,n500_eta1,500,1.0,0.6,0.3,2.0,1,1.986,0.346,,,,,,,,,,,
194,2,0.36804348508220924,0.4776831072695589,15.730045639946873,32.92987631457172,0.20787824002968364,0.4351802206653645,111.11111111111111,0.072,0.6,0.528167391066498,0.46047653484523987,0.16481977933463549,n500_eta1,500,1.0,0.6,0.3,8.0,0,7.888,0.248,True,0.18582103528399932,0.1310843323478367,13.438084697364609,13.438084697364609,102.5148044520393,0.07686277619218164,0.5863612745741701,1407.2788281214891,0.03497090294884939,0.028383570181201107
195,2,0.33920591871112143,0.4345955233819622,16.595735470082282,38.186623140838094,0.19051059581611085,0.43836299631801023,111.11111111111111,0.072,0.6,0.46384623533326313,0.4225866388375721,0.16163700368198974,n500_eta1,500,1.0,0.6,0.3,8.0,1,8.346,0.224,,,,,,,,,,,
196,2,3.0934995081012553,3.7943246367166386,4.551085389485436,1.199445441606612,1.7041290762468686,0.44912579692219246,4.166666666666667,0.48,0.6,0.5408082600054431,0.5502612491693741,0.15087420307780752,n500_eta1,500,1.0,0.6,2.0,2.0,0,2.09,0.174,True,2.6115816013648168,3.104699630947024,4.574646051811375,4.574646051811375,1.4734584969870257,1.4184355360462535,0.45686723504830296,916.706037335387,0.45145085073452595,0.47056836572733635
197,2,1.9197001978980037,2.57504476752594,4.496310853317313,1.69372057523691,1.099798539815376,0.4168184153882627,4.166666666666667,0.48,0.6,0.3909469949397254,0.3600719013649396,0.18318158461173728,n500_eta1,500,1.0,0.6,2.0,2.0,1,1.95,0.226,,,,,,,,,,,
198,2,2.135011447137291,2.654318793650132,17.70086286063261,6.737964232704501,1.1832554290227757,0.44578497196849587,16.666666666666668,0.48,0.6,0.39332004834084483,0.39183726840270733,0.1542150280315041,n500_eta1,500,1.0,0.6,2.0,8.0,0,8.008,0.046,True,1.1702743357401266,0.6690141585753997,12.57302814001892,12.57302814001892,18.793366297048117,0.42567009060692546,0.6362646965698728,1444.4992346258812,0.05215582895622726,0.052168101505960504
199,2,2.08505240118577,2.544645409996532,17.98579466902422,7.0680946737678205,1.1460184311521355,0.4391797067045189,16.666666666666668,0.48,0.6,0.372546391574559,0.37795036497070505,0.1608202932954811,n500_eta1,500,1.0,0.6,2.0,8.0,1,7.986,0.032,,,,,,,,,,,
200,2,3.3677837563080812,3.9637587373683987,4.725991233349203,1.175386221056137,1.8048550041881182,0.4367500514950924,0.8333333333333334,2.4,0.6,0.14936184126183802,0.12376892378591987,0.1632499485049076,n500_eta1,500,1.0,0.6,10.0,2.0,0,2.076,0.114,True,38.50251071867331,197.11123650381384,12.704408611534232,12.704408611534232,0.06445299028545447,32.21067355247561,0.16341368520537072,867.1333954270391,1.1115756827773666,1.1277885646686252
201,2,2.926277701364755,3.57199456367691,4.506965998722706,1.258957902542975,1.6069642841436622,0.4498787037596996,0.8333333333333334,2.4,0.6,0.17919245431358416,0.1742050173264171,0.15012129624030035,n500_eta1,500,1.0,0.6,10.0,2.0,1,2.11,0.154,,,,,,,,,,,
202,2,6.471554514985824,7.51383022250621,18.199060781478153,2.422075059264238,3.547274440203322,0.47209936013434994,3.3333333333333335,2.4,0.6,0.13869114762971563,0.16968354790361903,0.12790063986565003,n500_eta1,500,1.0,0.6,10.0,8.0,0,7.82,0.002,True,8.384046455218984,11.191364549960172,18.258617572222985,18.258617572222985,1.6314916282740486,4.793203078051961,0.4282947853815574,1312.8144232044572,0.31029389566009874,0.30041458782451785
203,2,6.225760844090042,6.65669547192925,16.83897595851342,2.5296299086419123,3.2170102504934857,0.48327436098877574,3.3333333333333335,2.4,0.6,0.11982175785612066,0.12724120300312888,0.11672563901122424,n500_eta1,500,1.0,0.6,10.0,8.0,1,7.796,0.002,,,,,,,,,,,
