gene_idx,correct,y_true,delta_bic
332,1,0,-11.9490994756502
333,1,0,-12.11262308192181
334,1,0,-12.53985246614593
335,1,0,-11.943499331476687
336,1,0,-10.363241666982049
337,1,0,-11.915693724954508
338,1,0,-12.472399674053577
339,1,0,-12.53402953605746
340,1,0,-8.044019910018505
341,1,0,-11.504509435498221
342,0,0,79.74225336653717
343,1,0,-12.236157465502856
344,1,0,-12.356842961868097
345,1,0,-12.428862460596974
346,1,0,-11.616492979105715
347,1,0,-12.723980896642843
348,0,0,29.74575517382982
349,1,0,-9.279179123652739
350,1,0,-12.449069725611935
351,1,0,-7.490191447378038
352,0,0,19.247873567391252
353,1,0,-12.277781095027422
354,1,0,-11.408149501850858
355,1,0,-12.50288221734445
356,1,0,-12.544476343901351
357,0,0,267.3032798667982
358,1,0,-12.341455721213606
359,0,0,1422.524769883823
360,1,0,-12.52529867976773
361,1,0,-12.519033571315958
362,1,0,-12.30843472498691
363,1,0,-12.30677954199382
364,1,0,-12.457357277718529
365,1,0,-12.382132532115975
366,1,0,-12.446699693441587
367,1,0,-12.383140139194438
368,1,0,-12.297240066131508
369,1,0,-11.311932854448969
370,1,0,-12.597600150525068
371,1,0,-12.511880079469847
372,1,0,-6.066683112814644
373,1,0,-12.404890177088419
374,1,0,-12.338262648138425
375,1,0,-12.459061860603924
376,1,0,-12.290628281989484
377,1,0,-12.699439438082209
378,1,0,-12.003409754983295
379,1,0,-12.162842631641979
380,1,0,-12.44755845281179
381,1,0,-12.411364441245041
382,1,0,-12.551832482900409
383,1,0,-12.441370404569625
384,1,0,-12.651865255294524
385,1,0,-12.617228098699343
386,1,0,-12.314941835717946
387,1,0,-12.319618138982605
388,1,0,-11.657695103168408
389,1,0,-12.19682451200515
390,1,0,-12.369709784438328
391,1,0,-13.070828420632552
392,1,0,-12.475547959177675
393,1,0,-12.445355104286136
394,1,0,-13.549779482855229
395,1,0,-12.19808293312417
396,1,0,-12.466303156947106
397,1,0,-12.066298857994752
398,1,0,-12.636300615185519
399,1,0,-9.046024567900076
400,1,1,96.25043489044037
401,1,1,18.340610627145907
402,1,1,152.26658582138725
403,1,1,27.03173256570699
404,1,1,72.58783604270457
405,1,1,113.78032293462775
406,1,1,89.53857822658574
407,1,1,72.52654647660529
408,1,1,185.0126882014638
409,1,1,83.78325266603633
410,1,1,78.10227753867275
411,1,1,49.85909986034994
412,1,1,63.050413211785326
413,1,1,229.52785440192656
414,1,1,67.94668360964761
415,1,1,79.51019435846683
416,1,1,71.98651494059732
417,1,1,99.85338431310174
418,1,1,76.68391024516131
419,1,1,131.4273011963778
420,1,1,124.21047006029085
421,1,1,121.97110429703253
422,1,1,21.364785985230355
423,1,1,33.6984905975055
424,1,1,60.21978312355395
425,1,1,123.1373680505285
426,1,1,26.556846636520277
427,1,1,67.44309486236625
428,1,1,118.28848897880562
429,0,1,-11.77810354605026
430,1,1,8.955950223065884
431,1,1,122.03530775261424
432,1,1,77.50751645224364
433,1,1,71.54187866119901
434,1,1,21.066157059254692
435,1,1,12.674774384381635
436,1,1,101.15304701845434
437,1,1,122.82674637667105
438,1,1,17.605650518391485
439,1,1,29.536711057253797
440,1,1,93.69566258698114
441,1,1,18.049523814693202
442,1,1,85.64793419872103
443,1,1,117.43101185258274
444,1,1,135.41624513561055
445,1,1,8.277653270161409
446,1,1,55.76195009815274
447,1,1,52.68948570788416
448,1,1,55.223180577074345
449,1,1,68.19571762615033
450,1,1,58.7361667226578
451,1,1,118.80297797086587
452,1,1,31.193511451493123
453,1,1,35.928548400571344
454,1,1,92.73288154310058
455,1,1,22.38914708706716
456,1,1,45.87334154792643
457,1,1,32.73776906660078
458,1,1,81.32229569362335
459,1,1,45.332654379046744
460,1,1,38.63184918555544
461,1,1,63.120673552216886
462,1,1,143.05390195092968
463,0,1,-1.1253700970701175
464,1,1,25.263126615055626
465,1,1,8.621579672839744
466,1,1,65.24326412590972
467,1,1,105.90043158680146
468,1,1,12.97732392630951
469,1,1,36.81654612653347
470,1,1,59.82361643986633
471,1,1,113.21153761847927
472,1,1,40.21816637100892
473,1,1,29.945324183731827
474,1,1,53.30179564124637
475,1,1,51.50793199934242
476,0,1,0.9946380170117664
477,1,1,91.82294561559729
478,1,1,30.948479131459862
479,1,1,104.06676891914822
480,1,1,47.81240099616116
481,1,1,44.45842570705554
482,1,1,71.29483595747979
483,1,1,31.195140901672858
484,1,1,40.451275089357296
485,1,1,72.66327520830419
486,1,1,216.57565261891477
487,1,1,38.8218283924507
488,1,1,51.20033674014621
489,1,1,16.52750770483226
490,1,1,49.033943471819384
491,1,1,144.96961898512563
492,1,1,62.77540785703877
493,1,1,116.74481377399479
494,1,1,82.6725484550052
495,1,1,50.63859248281551
496,1,1,73.76393511727838
497,1,1,25.233035312773154
498,1,1,77.37935492979886
499,1,1,73.71989599341441
500,1,1,79.08148423286684
501,1,1,42.04770610470405
502,1,1,107.52695008034107
503,1,1,39.36466161745875
504,1,1,46.66384366607372
505,1,1,37.802805310065196
506,1,1,36.1458038337355
507,1,1,72.61552061158318
508,1,1,122.04351490556473
509,1,1,38.988297333506125
510,1,1,42.20377174521445
511,1,1,4.385543143127052
512,0,1,0.17126298584480537
513,1,1,38.76586189454156
514,1,1,145.903972444818
515,1,1,82.10091475139643
516,1,1,65.05942137223337
517,1,1,82.39939430162667
518,1,1,23.97673408985338
519,1,1,61.49480512954915
520,1,1,38.4307906394979
521,1,1,109.00594394755535
522,1,1,69.31124863682544
523,1,1,12.67414915989184
524,1,1,75.25455337956691
525,1,1,126.78292250340292
526,1,1,88.62802038327436
527,1,1,46.98828963877668
528,1,1,106.77693775193757
529,1,1,60.80185216294285
530,1,1,19.359579634232887
531,1,1,37.25021898141813
532,1,1,73.9205353996499
533,1,1,65.7139715630633
534,1,1,47.24611058788287
535,1,1,81.5178624599439
536,1,1,109.35783219065252
537,1,1,59.14316407503611
538,1,1,21.71993365025719
539,1,1,107.53353977906772
540,1,1,65.57229388647374
541,1,1,61.34790431808324
542,1,1,86.30313826904103
543,1,1,52.93611527232724
544,1,1,11.973838675030493
545,1,1,52.16384529623747
546,1,1,73.38499910587188
547,1,1,9.129174702789896
548,1,1,29.56921771895486
549,1,1,149.9334250461534
550,1,1,68.54576474911482
551,1,1,36.89710481842121
552,1,1,82.05982358859728
553,1,1,13.847699226176246
554,1,1,131.29044581833296
555,1,1,48.50599553166285
556,1,1,35.51855829224132
557,1,1,99.76410689596878
558,1,1,28.518654238699128
559,1,1,93.94572597762362
560,1,1,51.81311517374115
561,1,1,99.22433356146848
562,1,1,88.81592410147596
563,1,1,29.999070998257594
564,1,1,76.97800575190013
565,1,1,49.13070190050303
566,1,1,66.87775469095914
567,1,1,58.16255024320844
568,1,1,65.82060084095974
569,1,1,10.797725610808357
570,1,1,52.84209017369676
571,1,1,31.4590573600467
572,1,1,122.05825447798725
573,1,1,95.0255886022228
574,1,1,94.84576132026814
575,1,1,87.12534488186702
576,1,1,36.73356217186074
577,1,1,23.365851736837158
578,1,1,84.06535874440078
579,1,1,19.413065137244303
580,1,1,17.282115314417297
581,1,1,21.37947927616733
582,1,1,20.40840220719565
583,1,1,72.26776369886375
584,1,1,45.498978228608394
585,1,1,200.23117875538537
586,1,1,69.6650847039291
587,1,1,142.60227879484182
588,1,1,83.51836138791214
589,0,1,-5.4166597680441555
590,1,1,111.4128630027717
591,1,1,64.82516185475015
592,1,1,25.092681668204477
593,1,1,29.63993019883401
594,1,1,84.05447319848145
595,1,1,7.605324776501675
596,1,1,89.42880915303476
597,1,1,93.01747556888859
598,1,1,47.49131792063508
599,1,1,60.38146915549942
600,1,1,68.30852434607141
601,1,1,88.01911296650132
602,1,1,19.675846305537107
603,1,1,12.96841186792335
604,1,1,162.03916908831752
605,1,1,37.590488690634174
606,1,1,47.94795588082752
607,1,1,46.175836152858665
608,1,1,69.93290318014988
609,1,1,50.424848981820105
610,1,1,15.371262172555817
611,1,1,46.62341233074358
612,1,1,42.25266482045072
613,1,1,63.948230792084814
614,1,1,87.64818051860266
615,1,1,31.27028387791006
616,1,1,105.5418447070665
617,1,1,46.71546062478501
618,1,1,55.27500719022464
619,1,1,42.76840346687277
620,1,1,95.67137284979344
621,1,1,47.95575477565308
622,1,1,119.91351496129391
623,1,1,32.79904097804774
624,1,1,53.771292853389696
625,1,1,56.26214975444009
626,1,1,40.09039437638057
627,1,1,114.01685783530138
628,1,1,67.05058561837723
629,1,1,27.295729134744306
630,1,1,55.275225703251635
631,1,1,83.21196587460372
632,1,1,32.32276172990714
633,1,1,35.104466527384375
634,1,1,113.62281999020115
635,1,1,26.5409612172607
636,1,1,42.8058345043728
637,1,1,29.542058859070494
638,1,1,37.964962998333704
639,1,1,41.11050067376618
640,1,1,22.538184689738046
641,1,1,94.95480821374622
642,1,1,49.801181809339596
643,0,1,27.05633108371876
644,1,1,12.155921964995741
645,1,1,66.72704050401353
646,1,1,30.30256409213007
647,1,1,102.82957360205364
648,1,1,35.99204046216846
649,1,1,21.33901171364323
650,1,1,35.77728422066457
651,1,1,91.5290078678795
652,1,1,38.05094817024019
653,1,1,52.69538839887764
654,1,1,53.70199252518887
655,1,1,16.762218202359236
656,1,1,104.80836566813969
657,1,1,94.40426862226332
658,1,1,74.86801859349771
659,1,1,100.06373199412292
660,1,1,48.59143339397633
661,1,1,60.17257815364337
662,1,1,56.92350120485844
663,1,1,36.65792445015995
664,1,1,79.27458835790003
665,1,1,58.76086168898655
666,0,1,-3.6305214965946107
667,1,1,74.48802257909392
668,1,1,92.14623595679268
669,1,1,14.2692442179291
670,1,1,96.39028864866123
671,1,1,27.85013964438849
672,1,1,62.70655300414728
673,1,1,72.40639180279686
674,1,1,82.10102585618733
675,1,1,24.187478720190484
676,1,1,75.87165857854325
677,1,1,139.08158350868825
678,1,1,73.01547814044216
679,1,1,5.230185202914981
680,1,1,49.417045944672736
681,1,1,46.757161260845805
682,1,1,228.11452189929742
683,1,1,54.333694810994075
684,1,1,54.54552181202325
685,1,1,35.6937008555542
686,1,1,42.5788546407307
687,1,1,32.20308091611105
688,1,1,114.66486930617793
689,1,1,31.350623216631902
690,1,1,80.55184177786396
691,1,1,22.627499835459275
692,1,1,109.36307788382055
693,1,1,186.21190114088586
694,1,1,59.84874371156047
695,1,1,84.34674271335462
696,1,1,159.94764984829453
697,1,1,143.88494355420517
698,1,1,65.75292763755579
699,1,1,73.728117444482
700,1,1,68.9775623888163
701,1,1,79.61407589695546
702,1,1,30.314886391719483
703,1,1,95.19789149792496
704,1,1,67.79820981777584
705,1,1,113.41805382224447
706,1,1,10.496796301291397
707,1,1,112.26802602626685
708,1,1,44.980560378198334
709,1,1,23.320825629344654
710,1,1,80.51848611763626
711,1,1,69.25696442140043
712,1,1,57.7774737091504
713,1,1,25.25532795699837
714,1,1,47.75194691391107
715,1,1,55.942607304849844
716,1,1,49.72217611374799
717,1,1,57.87299549653562
718,1,1,17.946474832765034
719,1,1,44.10407167435142
720,1,1,52.87417554244939
